,model,task,num_modes,num_epochs,lr,step_size,batch_size,spl_quantile,seed,r2,loss,AUROC,AUPRC
140,2d_lstm_resnet34,classification,8,25,0.0001,15,64,,10000,,0.603137910366058,0.73,0.88
10,2d_lstm_resnet34,regression,16,25,0.0001,15,64,,1000,0.029382040369948,156.11856079101562,0.78,0.9
11,2d_lstm_resnet34,regression,16,25,0.0001,15,64,,100,0.07800046829868901,148.29855346679688,0.77,0.87
127,2d_lstm_resnet34,classification,16,25,0.0001,15,64,,10,,0.5656411647796631,0.71,0.87
128,2d_lstm_resnet34,classification,16,25,0.0001,15,64,,1000,,0.5746334195137021,0.72,0.87
129,2d_lstm_resnet34,classification,16,25,0.0001,15,64,,100,,0.630362331867218,0.7000000000000001,0.87
130,2d_lstm_resnet34,classification,16,25,0.0001,15,64,,10000,,0.6346381902694701,0.7000000000000001,0.86
22,2d_lstm_resnet34,regression,32,25,0.0001,15,64,,10,-0.0024846316480920004,161.244140625,0.77,0.91
23,2d_lstm_resnet34,regression,32,25,0.0001,15,64,,1000,-0.047049803916396,168.4121856689453,0.75,0.89
24,2d_lstm_resnet34,regression,32,25,0.0001,15,64,,100,-0.026265118589379,165.06907653808594,0.79,0.91
25,2d_lstm_resnet34,regression,32,25,0.0001,15,64,,0,0.05127214137155801,152.59765625,0.76,0.88
26,2d_lstm_resnet34,regression,32,25,0.0001,15,64,,10000,0.016020786461501003,158.2676239013672,0.76,0.88
141,2d_lstm_resnet34,classification,32,25,0.0001,15,64,,10,,0.7067517638206481,0.66,0.86
142,2d_lstm_resnet34,classification,32,25,0.0001,15,64,,1000,,0.536598861217498,0.75,0.89
143,2d_lstm_resnet34,classification,32,25,0.0001,15,64,,100,,0.6360560655593871,0.66,0.84
144,2d_lstm_resnet34,classification,32,25,0.0001,15,64,,0,,0.6028649210929871,0.73,0.89
145,2d_lstm_resnet34,classification,32,25,0.0001,15,64,,10000,,0.628502964973449,0.68,0.86
92,2d_resnet34,regression,1,25,0.0001,15,64,,10,0.004248055616144,160.16122436523438,0.66,0.8200000000000001
93,2d_resnet34,regression,1,25,0.0001,15,64,,1000,0.034518340816723,155.2924041748047,0.7000000000000001,0.85
94,2d_resnet34,regression,1,25,0.0001,15,64,,100,0.048237068345985006,153.08583068847656,0.71,0.85
95,2d_resnet34,regression,1,25,0.0001,15,64,,0,-0.016338948235269,163.4725341796875,0.7000000000000001,0.8300000000000001
96,2d_resnet34,regression,1,25,0.0001,15,64,,10000,0.007740605001274,159.59947204589844,0.71,0.86
211,2d_resnet34,classification,1,25,0.0001,15,64,,10,,0.60372519493103,0.61,0.81
212,2d_resnet34,classification,1,25,0.0001,15,64,,1000,,0.632736325263977,0.5700000000000001,0.77
213,2d_resnet34,classification,1,25,0.0001,15,64,,100,,0.602468430995941,0.59,0.8200000000000001
214,2d_resnet34,classification,1,25,0.0001,15,64,,0,,0.603678286075592,0.61,0.8
215,2d_resnet34,classification,1,25,0.0001,15,64,,10000,,0.614074170589447,0.58,0.79
87,2d_resnet34,regression,2,25,0.0001,15,64,,10,0.018229830673004002,157.91232299804688,0.7000000000000001,0.85
88,2d_resnet34,regression,2,25,0.0001,15,64,,1000,-0.023388769000502,164.6064453125,0.7000000000000001,0.87
89,2d_resnet34,regression,2,25,0.0001,15,64,,100,0.005753765887559,159.91903686523438,0.7000000000000001,0.85
90,2d_resnet34,regression,2,25,0.0001,15,64,,0,-0.026338520615028,165.08090209960938,0.7000000000000001,0.87
91,2d_resnet34,regression,2,25,0.0001,15,64,,10000,-0.026861497488428,165.16500854492188,0.6900000000000001,0.86
206,2d_resnet34,classification,2,25,0.0001,15,64,,10,,0.624059677124023,0.62,0.8200000000000001
207,2d_resnet34,classification,2,25,0.0001,15,64,,1000,,0.602838456630706,0.6000000000000001,0.8200000000000001
208,2d_resnet34,classification,2,25,0.0001,15,64,,100,,0.663747906684875,0.58,0.79
209,2d_resnet34,classification,2,25,0.0001,15,64,,0,,0.586550652980804,0.61,0.81
210,2d_resnet34,classification,2,25,0.0001,15,64,,10000,,0.6306573152542111,0.59,0.78
102,2d_resnet34,regression,4,25,0.0001,15,64,,10,0.062609111997165,150.77415466308594,0.75,0.88
103,2d_resnet34,regression,4,25,0.0001,15,64,,1000,0.021242193417414002,157.4278106689453,0.6900000000000001,0.85
104,2d_resnet34,regression,4,25,0.0001,15,64,,100,0.031105438600840002,155.84136962890625,0.72,0.85
105,2d_resnet34,regression,4,25,0.0001,15,64,,0,0.018868269718488002,157.80963134765625,0.72,0.86
106,2d_resnet34,regression,4,25,0.0001,15,64,,10000,0.051350257263826006,152.58509826660156,0.71,0.86
221,2d_resnet34,classification,4,25,0.0001,15,64,,10,,0.572183847427368,0.66,0.85
222,2d_resnet34,classification,4,25,0.0001,15,64,,1000,,0.582956671714782,0.64,0.84
223,2d_resnet34,classification,4,25,0.0001,15,64,,100,,0.6177437305450441,0.61,0.8300000000000001
224,2d_resnet34,classification,4,25,0.0001,15,64,,0,,0.600934863090515,0.61,0.81
225,2d_resnet34,classification,4,25,0.0001,15,64,,10000,,0.592745840549469,0.62,0.8
107,2d_resnet34,regression,8,25,0.0001,15,64,,10,0.057505998099870004,151.59495544433594,0.72,0.85
108,2d_resnet34,regression,8,25,0.0001,15,64,,1000,0.071133666051336,149.4030303955078,0.71,0.86
109,2d_resnet34,regression,8,25,0.0001,15,64,,100,0.085850958533307,147.0358428955078,0.72,0.87
110,2d_resnet34,regression,8,25,0.0001,15,64,,0,0.074792307751723,148.8145751953125,0.71,0.86
111,2d_resnet34,regression,8,25,0.0001,15,64,,10000,0.001897893979993,160.5392303466797,0.6900000000000001,0.86
226,2d_resnet34,classification,8,25,0.0001,15,64,,10,,0.64362096786499,0.58,0.78
227,2d_resnet34,classification,8,25,0.0001,15,64,,1000,,0.6248118281364441,0.59,0.8
